source_id,page_type,category,title,url,collected_at,status,http_status,file,sha256,error,final_url
TONES-BIZ-0001,HOME,Brand,TONES Fashion,https://www.tonesfashion.com/,2026-09-23T12:31:57.166023+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0001.html,46e680c77a5447582a2cde397950c60491dd00aeaefea05de064d16c0a46ed5e,,https://www.tonesfashion.com/
TONES-BIZ-0002,ABOUT,Business,About Us,https://www.tonesfashion.com/pages/about,2026-09-23T12:32:01.366356+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0002.html,0527d695a6ac825830a58985082d490114ca4866e6a897d74a671cbb0c0ed794,,https://www.tonesfashion.com/pages/about
TONES-BIZ-0003,CONTACT,Business,Contact Us,https://www.tonesfashion.com/pages/contact,2026-09-23T12:32:04.403894+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0003.html,e64cfeafc77a490b50454672a4faabf917be8f7a270264df46df2b9ea8120575,,https://www.tonesfashion.com/pages/contact
TONES-BIZ-0004,SHIPPING,Policy,Shipping and Delivery Policy,https://www.tonesfashion.com/policies/shipping-policy,2026-09-23T12:32:07.346766+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0004.html,e3ece29588dd2e47f361469780fb71860c68581bd3b7253112bdff04ccf3df25,,https://www.tonesfashion.com/policies/shipping-policy
TONES-BIZ-0005,RETURNS,Policy,Return & Exchange Policy,https://www.tonesfashion.com/pages/return-exchange-policy,2026-09-23T12:32:10.217261+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0005.html,f165ecc5875829084426cdff24e646fc46cd0df6338e99deb959828cc65e3674,,https://www.tonesfashion.com/pages/return-exchange-policy
TONES-BIZ-0006,TERMS,Policy,Terms of Service,https://www.tonesfashion.com/policies/terms-of-service,2026-09-23T12:32:13.111682+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0006.html,e92d20ec8c8f07f5b50f2dc96afbc8e50390f4e53fbb0351b4c6b90152f6f311,,https://www.tonesfashion.com/policies/terms-of-service
TONES-BIZ-0007,PRIVACY,Policy,Privacy Policy,https://www.tonesfashion.com/policies/privacy-policy,2026-09-23T12:32:15.983325+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0007.html,7bd97c858aed2ee855176a224f7ae5014cd84e2bbf6ae2abf4f5e890c99db8e0,,https://www.tonesfashion.com/policies/privacy-policy
TONES-BIZ-0008,ORDER_TRACKING,Order,Track Order,https://1093.logisy.tech/track-order/,2026-09-23T12:32:18.853860+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0008.html,56f7b38acdf48e55ef4ed032d7ec9d2b91085e6a90643572a16488e9af8b4f4a,,https://1093.logisy.tech/track-order/
TONES-BIZ-0009,RETURN_REQUEST,Order,Exchange/Return Request,https://returns.logisy.tech/returns,2026-09-23T12:32:21.158145+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0009.html,d94c353be89a21f5ca4e801d0b8f22a1bb0313cecbf939854b4a3397d49c3574,,https://returns.logisy.tech/returns
TONES-BIZ-0010,BLOG_INDEX,Content,Blogs,https://www.tonesfashion.com/blogs/news,2026-09-23T12:32:22.224013+00:00,SUCCESS,200,01_RAW_DATA/business_pages/tones-biz-0010.html,6d8c6129133fa390a569af52bef205d6b5e00073e4f49c63406522fded85cae7,,https://www.tonesfashion.com/blogs/news
TONES-BIZ-0011,FAQ,Customer Knowledge,FAQ,https://www.tonesfashion.com/pages/faq,2026-09-23T12:32:25.092006+00:00,HTTP_ERROR,404,01_RAW_DATA/business_pages/tones-biz-0011.html,,,https://www.tonesfashion.com/pages/faq
