url_id,url,page_type,source
TONES-COL-0001,https://www.tonesfashion.com/collections/above-1000,COLLECTION,Sitemap
TONES-COL-0002,https://www.tonesfashion.com/collections/accessories,COLLECTION,Sitemap
TONES-COL-0003,https://www.tonesfashion.com/collections/acid-wash-collection,COLLECTION,Sitemap
TONES-COL-0004,https://www.tonesfashion.com/collections/anniversary-sale,COLLECTION,Sitemap
TONES-COL-0005,https://www.tonesfashion.com/collections/august-lenins,COLLECTION,Sitemap
TONES-COL-0006,https://www.tonesfashion.com/collections/below-1000,COLLECTION,Sitemap
TONES-COL-0007,https://www.tonesfashion.com/collections/best-sellers,COLLECTION,Sitemap
TONES-COL-0008,https://www.tonesfashion.com/collections/black-friday-sale-deals,COLLECTION,Sitemap
TONES-COL-0009,https://www.tonesfashion.com/collections/bottom-wear,COLLECTION,Sitemap
TONES-COL-0010,https://www.tonesfashion.com/collections/box-fit-shirts,COLLECTION,Sitemap
TONES-COL-0011,https://www.tonesfashion.com/collections/breeze-and-ease-1,COLLECTION,Sitemap
TONES-COL-0012,https://www.tonesfashion.com/collections/cargos,COLLECTION,Sitemap
TONES-COL-0013,https://www.tonesfashion.com/collections/casuals,COLLECTION,Sitemap
TONES-COL-0014,https://www.tonesfashion.com/collections/checks-style,COLLECTION,Sitemap
TONES-COL-0015,https://www.tonesfashion.com/collections/chinos,COLLECTION,Sitemap
TONES-COL-0016,https://www.tonesfashion.com/collections/christmas-sale,COLLECTION,Sitemap
TONES-COL-0017,https://www.tonesfashion.com/collections/combo-offer,COLLECTION,Sitemap
TONES-COL-0018,https://www.tonesfashion.com/collections/combo-tshirts,COLLECTION,Sitemap
TONES-COL-0019,https://www.tonesfashion.com/collections/combos,COLLECTION,Sitemap
TONES-COL-0020,https://www.tonesfashion.com/collections/corduroy-check-shirts,COLLECTION,Sitemap
TONES-COL-0021,https://www.tonesfashion.com/collections/courage,COLLECTION,Sitemap
TONES-COL-0022,https://www.tonesfashion.com/collections/crochet-stripes-shirt,COLLECTION,Sitemap
TONES-COL-0023,https://www.tonesfashion.com/collections/daily-home-tees,COLLECTION,Sitemap
TONES-COL-0024,https://www.tonesfashion.com/collections/daily-tees,COLLECTION,Sitemap
TONES-COL-0025,https://www.tonesfashion.com/collections/denim-jeans,COLLECTION,Sitemap
TONES-COL-0026,https://www.tonesfashion.com/collections/denim-shirts,COLLECTION,Sitemap
TONES-COL-0027,https://www.tonesfashion.com/collections/designer-wear,COLLECTION,Sitemap
TONES-COL-0028,https://www.tonesfashion.com/collections/diwali-sale,COLLECTION,Sitemap
TONES-COL-0029,https://www.tonesfashion.com/collections/double-pocket-flannels,COLLECTION,Sitemap
TONES-COL-0030,https://www.tonesfashion.com/collections/drip-sweatshirts,COLLECTION,Sitemap
TONES-COL-0031,https://www.tonesfashion.com/collections/dussehra-collection,COLLECTION,Sitemap
TONES-COL-0032,https://www.tonesfashion.com/collections/dussehra24,COLLECTION,Sitemap
TONES-COL-0033,https://www.tonesfashion.com/collections/dusshera23,COLLECTION,Sitemap
TONES-COL-0034,https://www.tonesfashion.com/collections/fast-moving,COLLECTION,Sitemap
TONES-COL-0035,https://www.tonesfashion.com/collections/festive-patterns,COLLECTION,Sitemap
TONES-COL-0036,https://www.tonesfashion.com/collections/flash-sale,COLLECTION,Sitemap
TONES-COL-0037,https://www.tonesfashion.com/collections/frontpage,COLLECTION,Sitemap
TONES-COL-0038,https://www.tonesfashion.com/collections/henley,COLLECTION,Sitemap
TONES-COL-0039,https://www.tonesfashion.com/collections/hoodies,COLLECTION,Sitemap
TONES-COL-0040,https://www.tonesfashion.com/collections/in-stock,COLLECTION,Sitemap
TONES-COL-0041,https://www.tonesfashion.com/collections/jeans,COLLECTION,Sitemap
TONES-COL-0042,https://www.tonesfashion.com/collections/key-chain,COLLECTION,Sitemap
