url_id,url,page_type,source
TONES-PAGE-0001,https://www.tonesfashion.com/pages/about,PAGE,Sitemap
TONES-PAGE-0002,https://www.tonesfashion.com/pages/bundles,PAGE,Sitemap
TONES-PAGE-0003,https://www.tonesfashion.com/pages/collection-bundle,PAGE,Sitemap
TONES-PAGE-0004,https://www.tonesfashion.com/pages/contact,PAGE,Sitemap
TONES-PAGE-0005,https://www.tonesfashion.com/pages/dussehra-sale,PAGE,Sitemap
TONES-PAGE-0006,https://www.tonesfashion.com/pages/festive-videos,PAGE,Sitemap
TONES-PAGE-0007,https://www.tonesfashion.com/pages/influencer-hiring,PAGE,Sitemap
TONES-PAGE-0008,https://www.tonesfashion.com/pages/investment-application,PAGE,Sitemap
TONES-PAGE-0009,https://www.tonesfashion.com/pages/investment-form,PAGE,Sitemap
TONES-PAGE-0010,https://www.tonesfashion.com/pages/investment-oppurtunity,PAGE,Sitemap
TONES-PAGE-0011,https://www.tonesfashion.com/pages/lookbook,PAGE,Sitemap
TONES-PAGE-0012,https://www.tonesfashion.com/pages/new-drop,PAGE,Sitemap
TONES-PAGE-0013,https://www.tonesfashion.com/pages/offers,PAGE,Sitemap
TONES-PAGE-0014,https://www.tonesfashion.com/pages/production,PAGE,Sitemap
TONES-PAGE-0015,https://www.tonesfashion.com/pages/return-exchange-policy,PAGE,Sitemap
TONES-PAGE-0016,https://www.tonesfashion.com/pages/vintage-glamour,PAGE,Sitemap
