collection_id,products_count,all_products_count,products_size,source_file
TONES-COL-0001,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0001.html
TONES-COL-0002,1,1,1,01_RAW_DATA\collections_html\TONES-COL-0002.html
TONES-COL-0003,3,3,3,01_RAW_DATA\collections_html\TONES-COL-0003.html
TONES-COL-0004,4,4,4,01_RAW_DATA\collections_html\TONES-COL-0004.html
TONES-COL-0005,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0005.html
TONES-COL-0006,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0006.html
TONES-COL-0007,6,6,6,01_RAW_DATA\collections_html\TONES-COL-0007.html
TONES-COL-0008,1,1,1,01_RAW_DATA\collections_html\TONES-COL-0008.html
TONES-COL-0009,6,6,6,01_RAW_DATA\collections_html\TONES-COL-0009.html
TONES-COL-0010,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0010.html
TONES-COL-0011,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0011.html
TONES-COL-0012,2,2,2,01_RAW_DATA\collections_html\TONES-COL-0012.html
TONES-COL-0013,5,5,5,01_RAW_DATA\collections_html\TONES-COL-0013.html
TONES-COL-0014,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0014.html
TONES-COL-0015,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0015.html
TONES-COL-0016,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0016.html
TONES-COL-0017,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0017.html
TONES-COL-0018,21,21,21,01_RAW_DATA\collections_html\TONES-COL-0018.html
TONES-COL-0019,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0019.html
TONES-COL-0020,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0020.html
TONES-COL-0021,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0021.html
TONES-COL-0022,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0022.html
TONES-COL-0023,8,8,8,01_RAW_DATA\collections_html\TONES-COL-0023.html
TONES-COL-0024,6,6,6,01_RAW_DATA\collections_html\TONES-COL-0024.html
TONES-COL-0025,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0025.html
TONES-COL-0026,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0026.html
TONES-COL-0027,14,14,14,01_RAW_DATA\collections_html\TONES-COL-0027.html
TONES-COL-0028,1,1,1,01_RAW_DATA\collections_html\TONES-COL-0028.html
TONES-COL-0029,8,8,8,01_RAW_DATA\collections_html\TONES-COL-0029.html
TONES-COL-0030,2,2,2,01_RAW_DATA\collections_html\TONES-COL-0030.html
TONES-COL-0031,0,0,0,01_RAW_DATA\collections_html\TONES-COL-0031.html
